Employee_ID,Gender,Company_Type,WFH_Setup_Available,Hours_Worked_Per_Week,Overtime_Hours,Tasks_Completed,Stress_Level,Satisfaction_Score,Performance_Score,Absenteeism_Days,Burn_Rate,Burnout_Risk,Productivity_Level
E100062,Female,Service,No,47.9,3,48,1.6,8.6,64.1,9,0.02,Low,High
E100063,Male,Service,No,52.4,13,38,3.4,8.1,64.2,6,0.06,Low,Medium
E100064,Male,Service,No,48.9,3,39,3.2,8.7,70.1,1,0.04,Low,Medium
E100065,Male,Product,Yes,50.5,15,90,3.7,2.6,94.0,6,0.27,Low,Medium
E100066,Male,Product,Yes,49.3,0,84,6.8,4.1,92.9,0,0.4,Medium,Medium
E100067,Female,Product,Yes,39.0,17,44,7.3,7.2,64.5,10,0.2,Low,Low
E100068,Male,Service,Yes,46.8,18,93,4.1,9.3,77.1,9,0.03,Low,High
E100069,Other,Product,Yes,49.2,9,68,8.1,7.0,73.8,3,0.24,Low,Medium
E100070,Female,Product,Yes,40.2,4,92,4.8,2.9,82.5,9,0.34,Medium,Medium
E100071,Male,Product,Yes,42.1,12,39,5.7,9.5,60.7,11,0.03,Low,Medium
E100072,Male,Product,Yes,41.0,5,19,2.3,7.8,54.3,2,0.05,Low,Medium
E100073,Female,Service,Yes,48.9,3,16,3.1,7.4,51.4,3,0.08,Low,Low
E100074,Female,Product,No,44.7,15,94,7.5,7.9,69.1,11,0.16,Low,Medium
E100075,Female,Service,Yes,43.4,7,77,9.8,6.9,97.3,4,0.3,Low,Medium
E100076,Female,Service,Yes,38.6,15,68,7.3,1.2,84.2,9,0.64,High,Low
E100077,Male,Service,Yes,44.7,10,52,1.5,3.3,87.5,3,0.1,Low,Medium
E100078,Male,Service,No,42.2,0,31,2.3,9.6,97.3,3,0.01,Low,Medium
E100079,Male,Product,Yes,46.2,17,45,5.0,3.6,71.1,7,0.32,Medium,Low
E100080,Female,Service,Yes,39.3,3,15,7.6,7.9,73.7,1,0.16,Low,Low
E100081,Female,Service,Yes,45.9,10,20,2.5,4.8,68.0,0,0.13,Low,Low
E100082,Male,Product,Yes,42.8,19,84,7.8,9.2,59.1,7,0.06,Low,Medium
E100083,Male,Service,No,38.8,9,50,6.0,6.0,88.3,11,0.24,Low,Medium
E100084,Male,Service,Yes,38.4,15,22,8.0,6.7,95.3,10,0.26,Low,Low
E100085,Male,Product,Yes,39.1,9,87,6.0,3.2,90.7,6,0.41,Medium,Medium
E100086,Female,Product,Yes,44.0,4,24,6.4,1.5,52.4,11,0.54,Medium,Low
E100087,Female,Service,Yes,45.6,17,38,3.2,7.8,65.0,1,0.07,Low,Medium
E100088,Female,Product,Yes,46.3,10,77,7.5,1.6,79.6,2,0.63,High,Low
E100089,Male,Service,Yes,46.5,2,54,8.6,7.5,66.4,0,0.22,Low,Low
E100090,Male,Service,No,41.2,8,16,8.8,6.0,57.5,10,0.35,Medium,Low
E100091,Female,Service,No,50.3,14,34,1.3,8.4,76.9,5,0.02,Low,Medium
E100092,Female,Service,No,42.8,18,95,6.6,2.9,76.1,3,0.47,Medium,Medium
E100093,Female,Product,Yes,47.3,18,47,9.9,5.9,85.5,7,0.41,Medium,Low
E100094,Female,Product,Yes,44.2,4,28,6.3,6.5,100.0,2,0.22,Low,Low
E100095,Male,Service,Yes,46.9,5,68,2.5,1.7,82.4,0,0.21,Low,Medium
E100096,Male,Service,Yes,43.9,3,69,8.9,7.7,65.8,9,0.2,Low,Medium
E100097,Male,Product,Yes,47.0,11,51,3.4,4.5,97.8,0,0.19,Low,Medium
E100098,Male,Service,No,45.0,4,98,1.4,2.2,78.6,5,0.11,Low,High
E100099,Male,Service,Yes,49.1,2,20,4.9,4.5,82.3,6,0.27,Low,Low
E100100,Male,Product,No,40.9,9,47,1.9,1.9,67.9,7,0.15,Low,Low
E100101,Female,Product,Yes,36.2,12,64,2.0,9.0,72.6,0,0.02,Low,High
E100102,Male,Product,Yes,40.1,3,89,5.2,5.1,70.9,4,0.25,Low,Medium
E100103,Male,Service,Yes,50.3,7,98,6.5,2.2,96.8,4,0.51,Medium,Medium
E100104,Female,Product,Yes,44.2,0,84,9.1,3.3,90.5,5,0.61,High,Low
E100105,Male,Service,Yes,45.5,19,86,7.3,7.5,54.5,8,0.18,Low,Medium
E100106,Male,Service,No,39.7,1,97,8.6,8.1,65.7,2,0.16,Low,Medium
E100107,Female,Service,No,45.3,3,93,4.7,1.4,52.8,10,0.4,Medium,Medium
E100108,Male,Service,Yes,39.9,0,65,3.9,1.5,75.8,0,0.33,Medium,Low
E100109,Male,Service,Yes,40.6,6,80,6.3,9.3,64.0,2,0.04,Low,High
E100110,Male,Service,No,43.0,4,75,7.3,4.0,53.7,7,0.44,Medium,Medium
E100111,Male,Service,No,47.2,12,42,6.1,2.7,88.6,9,0.45,Medium,Low
E100112,Female,Product,Yes,47.8,12,58,3.4,2.1,54.6,10,0.27,Low,Low
E100113,Female,Service,No,47.9,7,96,4.3,5.3,63.6,2,0.2,Low,High
E100114,Female,Service,Yes,37.1,16,26,5.0,7.9,88.6,6,0.1,Low,Low
E100115,Female,Service,Yes,45.0,9,97,1.1,5.7,75.6,8,0.05,Low,High
E100116,Female,Service,Yes,44.0,9,71,8.9,1.2,90.9,7,0.78,High,Low
E100117,Male,Product,Yes,37.3,1,40,5.6,5.4,70.7,10,0.26,Low,Low
E100118,Female,Service,Yes,45.1,5,39,7.8,3.8,90.7,10,0.48,Medium,Low
E100119,Male,Product,Yes,43.7,0,29,2.5,7.1,76.9,4,0.07,Low,Medium
E100120,Female,Service,Yes,47.6,17,88,6.0,5.7,54.4,10,0.26,Low,Medium
E100121,Female,Service,No,45.4,2,91,9.3,9.7,73.6,10,0.03,Low,Medium
E100122,Male,Product,No,42.3,6,94,2.9,6.4,77.7,7,0.1,Low,High
E100123,Male,Product,Yes,49.6,15,67,4.1,6.7,80.6,0,0.14,Low,Medium
E100124,Male,Service,Yes,33.9,2,79,4.5,5.7,96.4,1,0.19,Low,Medium
E100125,Male,Product,Yes,44.7,5,68,4.4,3.8,59.2,11,0.27,Low,Medium
E100126,Female,Service,Yes,36.2,3,92,6.4,6.7,80.3,2,0.21,Low,Medium
E100127,Female,Product,Yes,40.4,15,53,4.5,4.0,87.6,3,0.27,Low,Low
E100128,Male,Product,Yes,47.6,2,65,7.1,7.5,94.5,0,0.18,Low,Medium
E100129,Male,Product,Yes,38.6,3,34,5.4,3.1,76.3,7,0.37,Medium,Low
E100130,Male,Product,Yes,37.9,10,78,2.4,4.3,60.7,3,0.14,Low,Medium
E100131,Male,Service,Yes,56.9,16,25,9.5,6.3,90.9,6,0.35,Medium,Low
E100132,Male,Product,No,38.2,18,66,3.2,6.7,95.3,9,0.11,Low,Medium
E100133,Male,Service,Yes,53.3,7,99,6.1,7.0,55.3,1,0.18,Low,High
E100134,Female,Service,Yes,44.1,13,68,1.5,7.3,61.5,5,0.04,Low,High
E100135,Male,Service,Yes,42.4,15,83,9.3,3.9,93.6,8,0.57,Medium,Low
E100136,Male,Service,Yes,47.8,18,21,9.4,9.0,74.2,6,0.09,Low,Low
E100137,Female,Product,Yes,51.7,15,26,4.3,1.3,58.5,6,0.37,Medium,Low
E100138,Male,Service,No,39.3,9,16,2.1,2.7,82.3,2,0.15,Low,Low
E100139,Female,Service,Yes,42.4,14,35,7.9,1.6,72.9,6,0.66,High,Low
E100140,Female,Service,No,49.2,3,83,3.4,7.0,98.4,11,0.1,Low,High
E100141,Male,Service,Yes,46.4,3,90,7.3,3.5,61.1,8,0.47,Medium,Medium
E100142,Male,Product,Yes,50.5,12,50,9.2,2.8,68.1,6,0.66,High,Low
E100143,Male,Service,Yes,47.6,11,35,6.3,5.3,58.3,1,0.3,Low,Low
E100144,Male,Product,Yes,54.0,14,67,8.8,6.6,52.5,6,0.3,Low,Medium
E100145,Male,Product,Yes,45.9,12,33,3.0,6.6,63.7,9,0.1,Low,Medium
E100146,Female,Product,No,46.1,5,17,9.2,6.0,91.0,8,0.37,Medium,Low
E100147,Male,Service,Yes,46.6,13,74,3.0,9.9,63.4,6,0.0,Low,High
E100148,Male,Product,Yes,44.3,2,95,3.0,8.7,84.8,0,0.04,Low,High
E100149,Male,Service,No,49.2,7,87,8.9,3.1,76.3,6,0.61,High,Low
E100150,Female,Product,Yes,46.2,11,48,6.0,7.8,76.0,0,0.13,Low,Medium
E100151,Male,Service,Yes,48.9,13,43,8.2,6.1,89.1,11,0.32,Medium,Low
E100152,Male,Service,Yes,49.7,4,88,8.2,1.6,80.9,1,0.69,High,Low
E100153,Male,Service,Yes,47.1,1,71,6.8,1.4,58.0,8,0.58,Medium,Low
E100154,Other,Product,Yes,47.5,9,87,2.7,8.2,61.0,2,0.05,Low,High
E100155,Male,Service,Yes,39.9,2,54,7.2,5.9,77.2,7,0.3,Low,Low
E100156,Female,Service,Yes,42.2,9,64,1.6,6.1,92.3,0,0.06,Low,Medium
E100157,Female,Service,Yes,49.2,8,89,2.8,4.0,57.6,8,0.17,Low,Medium
E100158,Male,Product,Yes,52.1,16,33,6.8,9.4,55.3,11,0.04,Low,Medium
E100159,Female,Product,Yes,35.3,5,36,9.2,7.4,75.9,9,0.24,Low,Low
E100160,Male,Service,Yes,42.2,8,65,7.9,9.3,59.4,5,0.06,Low,Medium
E100161,Female,Product,No,45.1,2,63,4.0,1.9,99.7,0,0.32,Medium,Low
E100162,Female,Service,Yes,40.6,6,66,8.4,6.3,50.2,6,0.31,Medium,Medium
E100163,Male,Service,No,40.9,11,36,9.7,6.7,72.4,11,0.32,Medium,Low
E100164,Male,Product,Yes,47.4,17,76,4.0,2.1,58.1,4,0.32,Medium,Medium
E100165,Female,Service,Yes,52.9,9,74,2.7,4.1,84.1,4,0.16,Low,Medium
E100166,Male,Service,Yes,34.8,1,94,2.8,2.9,81.5,8,0.2,Low,Medium
E100167,Male,Service,No,44.1,16,95,4.6,9.9,90.4,5,0.0,Low,High
E100168,Male,Service,Yes,47.3,2,21,1.5,5.9,78.2,8,0.06,Low,Medium
E100169,Female,Service,No,48.9,0,67,5.4,3.8,59.5,11,0.33,Medium,Medium
E100170,Female,Service,No,46.6,7,45,7.6,7.0,52.7,1,0.23,Low,Low
E100171,Male,Service,Yes,53.8,12,18,5.8,6.9,86.1,3,0.18,Low,Low
E100172,Male,Service,Yes,45.1,10,21,9.7,4.1,72.0,5,0.57,Medium,Low
E100173,Male,Service,Yes,51.6,7,17,5.2,9.9,61.1,2,0.01,Low,Medium
E100174,Female,Service,Yes,41.8,19,39,1.1,8.3,62.6,9,0.02,Low,Medium
E100175,Male,Service,Yes,45.3,0,48,5.2,4.6,57.5,11,0.28,Low,Low
E100176,Female,Product,No,38.9,1,47,9.4,6.9,64.2,9,0.29,Low,Low
E100177,Male,Service,Yes,49.5,17,52,1.9,7.4,89.6,2,0.05,Low,Medium
E100178,Female,Product,Yes,44.4,17,18,3.0,2.6,81.0,11,0.22,Low,Low
E100179,Male,Product,Yes,46.8,8,62,7.4,8.9,99.4,9,0.08,Low,Medium
E100180,Male,Product,No,43.4,6,88,3.6,8.4,76.2,9,0.06,Low,High
E100181,Male,Service,Yes,47.9,8,75,7.9,7.8,76.1,0,0.17,Low,Medium
E100182,Female,Service,No,47.0,9,79,4.8,3.0,59.6,4,0.34,Medium,Medium
E100183,Female,Service,No,40.0,1,95,8.2,2.2,79.3,5,0.64,High,Medium
E100184,Male,Product,Yes,40.3,4,85,6.0,2.6,80.4,3,0.44,Medium,Medium
E100185,Female,Service,Yes,44.9,16,92,1.7,1.8,60.3,8,0.14,Low,Medium
E100186,Female,Product,Yes,48.3,1,75,4.5,9.5,54.4,5,0.02,Low,High
E100187,Female,Product,Yes,54.3,19,15,4.0,8.7,68.4,2,0.05,Low,Medium
E100188,Male,Service,No,46.5,9,20,8.3,1.8,58.6,6,0.68,High,Low
E100189,Male,Service,Yes,50.0,0,88,6.6,7.1,75.2,4,0.19,Low,Medium
E100190,Male,Product,Yes,36.9,11,35,8.0,3.2,76.3,8,0.54,Medium,Low
E100191,Female,Service,Yes,55.1,14,81,4.3,1.2,80.4,10,0.38,Medium,Medium
E100192,Female,Service,Yes,48.0,5,97,7.2,3.6,80.1,4,0.46,Medium,Medium
E100193,Female,Product,Yes,44.8,13,42,1.6,5.0,83.7,10,0.08,Low,Medium
E100194,Male,Service,Yes,44.2,13,80,1.3,1.2,61.5,6,0.11,Low,Medium
E100195,Male,Product,No,39.5,14,41,3.6,3.9,86.5,5,0.22,Low,Low
E100196,Female,Product,Yes,40.9,0,46,8.0,7.3,76.2,11,0.22,Low,Low
E100197,Female,Product,Yes,54.6,16,26,5.8,3.1,71.9,9,0.4,Medium,Low
E100198,Female,Service,No,40.1,10,79,4.7,5.4,82.4,2,0.22,Low,Medium
E100199,Female,Service,No,40.0,14,60,9.1,9.0,75.1,9,0.09,Low,Medium
E100200,Female,Service,Yes,41.5,19,54,5.5,1.3,76.3,6,0.48,Medium,Low
E100201,Male,Service,Yes,39.0,15,23,6.5,8.1,51.2,3,0.12,Low,Low
E100202,Male,Service,Yes,45.1,8,96,9.9,4.5,90.1,5,0.54,Medium,Medium
E100203,Female,Service,Yes,50.4,11,76,5.7,5.9,71.2,5,0.23,Low,Medium
E100204,Female,Service,No,41.9,1,30,8.1,3.1,75.9,2,0.56,Medium,Low
E100205,Male,Service,Yes,38.1,14,82,4.7,6.2,69.5,1,0.18,Low,Medium
E100206,Male,Product,No,46.5,8,54,1.3,7.6,77.6,2,0.03,Low,High
E100207,Female,Service,Yes,44.7,15,49,8.5,2.8,52.7,7,0.61,High,Low
E100208,Male,Service,Yes,50.0,16,97,9.5,4.1,69.2,0,0.56,Medium,Medium
E100209,Male,Product,Yes,42.7,19,74,4.9,6.1,83.4,10,0.19,Low,Medium
E100210,Male,Product,Yes,43.7,3,84,5.5,4.8,96.9,2,0.29,Low,Medium
E100211,Female,Service,Yes,44.3,7,17,4.8,3.6,92.5,5,0.31,Medium,Low
E100212,Female,Service,Yes,45.4,6,67,10.0,5.1,98.1,11,0.49,Medium,Low
E100213,Male,Service,Yes,43.0,5,73,9.1,3.6,89.1,11,0.58,Medium,Low
E100214,Female,Product,No,42.2,4,50,1.4,3.7,81.6,6,0.09,Low,Medium
E100215,Male,Product,Yes,35.7,9,80,8.0,6.5,71.2,11,0.28,Low,Medium
E100216,Male,Product,No,42.2,2,51,6.4,5.3,56.2,9,0.3,Low,Low
E100217,Female,Service,Yes,48.6,19,93,1.2,7.1,62.5,11,0.03,Low,High
E100218,Female,Service,No,49.3,16,58,5.0,8.5,63.6,3,0.08,Low,Medium
E100219,Female,Service,No,42.6,15,78,2.3,9.5,71.4,7,0.01,Low,High
E100220,Female,Product,Yes,51.5,10,65,8.9,2.4,80.5,10,0.68,High,Low
E100221,Female,Product,No,44.9,12,20,1.1,6.6,80.9,7,0.04,Low,Medium
E100222,Male,Product,Yes,38.3,17,83,8.9,6.2,72.8,3,0.34,Medium,Medium
E100223,Male,Service,No,36.7,13,35,9.5,8.8,63.7,3,0.11,Low,Low
E100224,Male,Service,Yes,51.1,1,71,1.7,9.1,52.8,10,0.02,Low,High
E100225,Male,Service,Yes,43.1,11,42,7.5,7.8,99.4,4,0.16,Low,Low
E100226,Female,Product,Yes,38.9,9,99,5.9,6.4,97.0,2,0.21,Low,High
E100227,Male,Product,Yes,33.7,6,38,9.6,2.8,59.1,5,0.69,High,Low
E100228,Female,Service,Yes,43.0,1,89,8.2,3.5,80.3,8,0.53,Medium,Medium
E100229,Female,Service,No,47.0,17,77,7.2,6.4,64.8,1,0.26,Low,Medium
E100230,Female,Service,No,41.5,16,36,9.3,2.3,59.7,2,0.72,High,Low
E100231,Male,Service,Yes,39.7,15,48,2.4,2.7,84.2,9,0.18,Low,Medium
E100232,Female,Product,No,42.3,1,51,4.4,9.2,89.3,10,0.04,Low,Medium
E100233,Male,Service,No,51.2,10,55,8.6,9.6,70.3,0,0.03,Low,Medium
E100234,Male,Product,Yes,38.0,18,95,1.9,1.0,53.0,5,0.17,Low,Medium
E100235,Female,Service,Yes,41.8,6,93,9.4,8.8,70.1,10,0.11,Low,Medium
E100236,Male,Product,Yes,51.1,16,57,7.7,9.4,76.6,10,0.05,Low,Medium
E100237,Male,Service,No,47.5,14,36,5.0,5.7,94.7,2,0.21,Low,Low
E100238,Female,Product,No,45.9,8,29,4.0,5.0,82.8,0,0.2,Low,Low
E100239,Male,Service,Yes,41.8,11,35,2.3,9.3,85.5,6,0.02,Low,Medium
E100240,Female,Service,Yes,45.2,7,66,1.8,1.1,60.1,11,0.16,Low,Medium
E100241,Female,Service,No,42.3,1,18,4.8,8.6,86.0,5,0.07,Low,Low
E100242,Female,Service,No,40.7,16,61,8.6,3.7,75.1,9,0.54,Medium,Low
E100243,Male,Service,No,39.6,15,32,5.8,6.8,91.0,9,0.19,Low,Low
E100244,Male,Service,Yes,48.9,15,85,5.1,3.9,60.8,6,0.31,Medium,Medium
E100245,Female,Product,Yes,44.7,2,94,3.9,5.7,75.7,6,0.17,Low,High
E100246,Male,Service,Yes,46.6,18,49,2.4,8.3,60.5,1,0.04,Low,Medium
E100247,Female,Product,Yes,45.8,15,90,9.9,2.6,64.3,3,0.73,High,Low
E100248,Female,Product,No,47.2,10,21,1.2,7.0,91.6,4,0.04,Low,Medium
E100249,Female,Service,Yes,43.7,8,55,3.8,9.1,84.4,8,0.03,Low,Medium
E100250,Male,Product,No,42.6,13,24,7.9,9.1,86.4,10,0.07,Low,Low
E100251,Male,Service,Yes,40.9,1,76,5.7,9.0,53.4,10,0.06,Low,High
E100252,Female,Service,No,37.9,12,79,3.8,5.7,86.4,7,0.16,Low,Medium
E100253,Male,Service,Yes,39.4,4,26,9.9,7.9,74.6,7,0.21,Low,Low
E100254,Male,Product,Yes,43.2,19,42,6.6,5.0,73.0,8,0.33,Medium,Low
E100255,Female,Service,Yes,37.0,13,72,3.7,5.1,70.6,6,0.18,Low,Medium
E100256,Female,Service,Yes,38.1,0,70,8.6,3.6,92.6,10,0.55,Medium,Low
E100257,Female,Service,No,50.2,5,32,2.4,3.6,58.9,5,0.15,Low,Low
E100258,Female,Product,Yes,46.1,10,79,5.2,1.3,90.7,8,0.45,Medium,Medium
E100259,Male,Service,Yes,42.7,16,71,8.6,5.8,96.4,4,0.36,Medium,Medium
E100260,Female,Product,No,56.4,13,64,9.9,3.8,58.4,4,0.61,High,Low
E100261,Other,Product,No,36.8,13,95,4.4,2.7,100.0,2,0.32,Medium,Medium
E100262,Male,Product,Yes,49.9,19,59,2.2,2.1,99.5,8,0.17,Low,Medium
E100263,Male,Product,No,44.4,6,76,6.1,4.1,81.1,1,0.36,Medium,Medium
E100264,Female,Product,Yes,48.9,18,79,9.5,9.1,63.4,9,0.09,Low,Medium
E100265,Female,Service,Yes,45.5,5,69,7.0,5.6,71.5,2,0.31,Medium,Medium
E100266,Female,Service,Yes,35.6,12,52,6.4,6.0,58.5,3,0.26,Low,Low
E100267,Female,Service,Yes,45.5,9,18,3.8,1.5,56.0,11,0.32,Medium,Low
E100268,Male,Service,Yes,46.7,18,29,6.5,5.7,85.2,0,0.28,Low,Low
E100269,Male,Service,Yes,34.0,9,35,9.0,7.0,79.0,1,0.27,Low,Low
E100270,Female,Service,Yes,54.7,4,35,4.4,2.4,78.2,4,0.33,Medium,Low
E100271,Female,Service,No,46.6,12,65,3.2,9.9,62.4,5,0.0,Low,High
E100272,Female,Product,Yes,48.4,16,92,5.3,9.2,61.7,5,0.04,Low,High
E100273,Female,Service,No,39.2,4,49,4.4,9.9,99.5,2,0.0,Low,Medium
E100274,Male,Product,No,48.5,6,18,5.2,4.2,81.4,3,0.3,Low,Low
E100275,Male,Service,Yes,50.4,19,46,1.9,8.4,91.0,10,0.03,Low,Medium
E100276,Female,Product,Yes,46.3,6,26,4.0,4.0,68.9,8,0.24,Low,Low
E100277,Female,Product,Yes,45.0,14,68,8.4,7.7,92.2,0,0.19,Low,Medium
E100278,Female,Service,No,40.5,14,44,4.6,9.5,86.1,8,0.02,Low,Medium
E100279,Female,Service,Yes,43.9,0,23,9.7,2.4,67.5,7,0.74,High,Low
E100280,Female,Service,Yes,42.4,11,33,7.4,2.3,85.9,3,0.57,Medium,Low
E100281,Male,Service,No,47.9,1,94,4.3,1.9,96.3,3,0.35,Medium,Medium
E100282,Male,Product,Yes,40.8,17,44,3.3,8.2,60.7,4,0.06,Low,Medium
E100283,Male,Product,Yes,47.8,14,79,7.2,7.0,77.4,10,0.22,Low,Medium
E100284,Female,Service,Yes,40.8,6,59,3.7,5.7,98.3,9,0.16,Low,Medium
E100285,Male,Service,No,43.7,8,37,9.3,8.0,91.1,1,0.19,Low,Low
E100286,Male,Service,No,48.1,2,90,2.0,8.6,81.0,6,0.03,Low,High
E100287,Male,Service,Yes,41.5,9,19,1.3,9.5,53.5,1,0.01,Low,Medium
E100288,Male,Product,Yes,48.3,1,98,3.0,2.8,70.3,6,0.22,Low,Medium
E100289,Female,Service,No,47.8,11,81,6.5,5.0,82.5,11,0.32,Medium,Medium
E100290,Male,Service,No,43.6,6,80,8.5,9.3,70.5,4,0.06,Low,Medium
E100291,Male,Service,No,50.8,4,57,2.5,5.2,99.9,6,0.12,Low,Medium
E100292,Female,Service,Yes,45.4,3,98,6.3,5.4,87.7,0,0.29,Low,Medium
E100293,Male,Product,No,50.5,0,16,2.3,9.5,59.4,8,0.01,Low,Medium
E100294,Male,Service,Yes,54.0,14,62,6.1,7.6,74.5,3,0.15,Low,Medium
E100295,Male,Product,Yes,43.8,8,72,1.2,6.0,69.2,9,0.05,Low,High
E100296,Female,Product,No,48.2,5,54,6.0,4.2,79.7,10,0.35,Medium,Low
E100297,Male,Service,Yes,41.8,13,67,5.7,9.2,72.3,7,0.05,Low,Medium
E100298,Female,Service,No,39.8,1,73,1.4,1.1,61.9,5,0.12,Low,Medium
